,Nili_id,Vertex,deployment_duration,origin,birth_year,years.at.deployment,age_group,sex,deploy.loc,AgeClass,X,Layer,Node,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,X.x,areas50,areas95,Movt.Personality,X.y,AvgDisplacementPerDay,AvgFlightDurPerDay,Shannon.Roost,Degree_CoFlight,Degree_CoRoosting,Degree_CoFeeding,Degree_Aggregate,Strength_CoFlight,Strength_CoRoosting,Strength_CoFeeding,Strength_Aggregate,PageRank_CoFlight,PageRank_CoRoosting,PageRank_CoFeeding,PageRank_Aggregate,Hub_CoFlight,Hub_CoRoosting,Hub_CoFeeding,Hub_Aggregate,Authority_CoFlight,Authority_CoRoosting,Authority_CoFeeding,Authority_Aggregate
1,segovia,T96.W,22,Catalonia,2013,6,adult,f,carmel,A,30,1-Multi,30,4,4,4,4,4,4,0.338277594,0.162454687,0.933516833,29,56067.75,211190.0625,0.265484793,29,22035.33333,11949.33333,0,0,8,0,16,0,8,0,16,0.099555612,0.48867669,0.079681109,0.707718992,8.66E-18,0.874765866,0,0.588927109,8.66E-18,0.874765866,0,0.588927109
2,helsinki,T97.W,257,Catalonia,2013,6,adult,m,carmel,A,31,1-Multi,31,4.352357143,4.352357143,4.352357143,5.5,5.5,5.5,0.537333799,0,1,30,534.9375,2358.5625,0.226806582,30,5294.824286,13618.42857,0,1,10,0,20,0.285714286,8.419,0,17.40942857,0.15899893,0.527467559,0.079681109,0.736007513,0.060004621,0.89962341,0,0.624901121,0.060004621,0.89962341,0,0.624901121
3,dor,T95.B..N45.Y.78.X46.E05.K76.,517,Wild,2003,6,,m,negev,A,29,1-Multi,29,1.138181887,1.138181887,1.138181887,10,10,10,0.438253361,1.08E-05,0.000301283,28,11386.6875,153067.5,0.074389975,28,28877.91556,16499.15556,1.438967024,8,7,5,24,0.368585062,0.711,1.196778711,4.552727546,0.543717122,0.483762022,0.487461092,0.825707259,1.07E-05,0.000231433,0.019906351,0.000177265,1.07E-05,0.000231433,0.019906351,0.000177265
4,urasmus,T08.White,220,Catalonia,2016,2,,m,gamla,J,11,1-Multi,11,1.31209975,1.31209975,1.31209975,8.5,8.5,8.5,0.22749156,0.000275986,0.001916146,10,551.8125,8547.75,0.064556462,10,3937.46129,13914.56452,1.202616409,7,5,5,16,0.994145982,0.864,0.766053518,5.248399,0.718696426,0.342006061,0.311461216,0.709407158,0.002946261,0.001551864,0.361614443,0.005728482,0.002946261,0.001551864,0.361614443,0.005728482
5,guatemala,T09.White,579,Catalonia,2016,2,,m,gamla,J,12,1-Multi,12,1.238579843,1.238579843,1.238579843,8,8,8,0.26089807,0.00022144,0.001742054,11,5296.5,63718.875,0.083122936,11,10834.09594,12390.31884,1.522411486,7,4,5,14,0.872461066,0.858,0.746698619,4.95431937,0.638594497,0.337201236,0.305655093,0.693060439,0.002662969,0.001430101,0.350414026,0.005452979,0.002662969,0.001430101,0.350414026,0.005452979
6,avishai,T43.W..R03.L17.L93.Y07.,202,Captive born,2006,12,,m,carmel,A,23,1-Multi,23,6.658156767,6.658156767,6.658156767,9.5,9.5,9.5,0.504327677,0.456455844,0.92102655,22,34.875,639.5625,0.054529464,22,3937.301739,12082.17391,0,8,11,0,24,3.645313533,9.671,0,26.63262707,0.802825751,0.595218889,0.079681109,0.904835725,0.858938392,0.991169813,0,0.892702719,0.858938392,0.991169813,0,0.892702719
7,zaragossa,T22.white,612,Catalonia,2016,2,,f,chever,J,15,1-Multi,15,0.73342636,0.73342636,0.73342636,5.5,5.5,5.5,0.223681685,5.42E-09,0.000385632,14,7894.125,43179.75,0.182820072,14,11956.25532,13462.29787,1.232426958,3,3,5,14,0.160311964,0.057,1.249540756,2.93370544,0.345892239,0.090169527,0.540268963,0.710917231,2.96E-06,0.000281812,0.115234921,0.001486638,2.96E-06,0.000281812,0.115234921,0.001486638
8,lear,T05.white,305,Wild,2016,2,,,gamla,J,9,1-Multi,9,6.007511247,6.007511247,6.007511247,9.5,9.5,9.5,0.21377113,0.907629039,0.075485456,8,174.375,1967.0625,0.088647412,8,6280.405385,12450.25641,0,9,10,0,22,3.278022494,8.737,0,24.03004499,0.802350423,0.543738962,0.079681109,0.85161389,0.724738088,0.919953629,0,0.831815491,0.724738088,0.919953629,0,0.831815491
9,turkish,S75.T03.white,654,Wild,2016,2,,,sde boker,J,7,1-Multi,7,1.277463536,1.277463536,1.277463536,13,13,13,0.231466443,2.12E-05,5.10E-06,6,44746.3125,244491.75,0.183017679,6,19659.533,16183.44,1.875102344,14,4,8,34,0.435262879,0.141,1.978664193,5.109854144,0.663112789,0.133789226,0.777017203,0.91225705,7.39E-05,1.77E-05,0.046306137,0.000158862,7.39E-05,1.77E-05,0.046306137,0.000158862
10,zoro,T78.B,477,Catalonia,2016,2,,f,golan,J,27,1-Multi,27,2.865847889,2.865847889,2.865847889,11,11,11,1,9.15E-05,0.00267394,26,2374.3125,35760.375,0.066395067,26,11655.26974,17965.42105,1.297340477,8,7,7,18,1.115243029,1.727,2.889452748,11.46339155,0.782842603,0.654290844,1,1,0.006689588,0.002132764,1,0.039439791,0.006689588,0.002132764,1,0.039439791
11,methy,T41.B,782,Wild,2007,10,,m,,A,20,1-Multi,20,0.959002823,0.959002823,0.959002823,7.5,7.5,7.5,0.292995037,5.85E-05,0.001051781,19,31416.75,157730.625,0.199179772,19,22634.46515,15564.5534,1.065050522,6,5,4,18,0.245964238,0.734,0.938041408,3.836011292,0.491339754,0.426150145,0.398939575,0.78907785,5.16E-06,0.00080084,0.070898435,0.001065528,5.16E-06,0.00080084,0.070898435,0.001065528
12,cartagena,K94,753,Catalonia,2013,3,,f,,J,4,1-Multi,4,0,0,0,0,0,0,0.198691875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.099555612,0.066852847,0.079681109,0.471728181,8.66E-18,2.12E-17,0,0,8.66E-18,2.12E-17,0,0
13,sabath,S94,#VALUE!,Wild,2012,4,,,,J,8,1-Multi,8,2.081482049,2.081482049,2.081482049,15.5,15.5,15.5,0.204545938,0.068762666,0,7,57773.25,485180.4375,0.119075803,7,31066.26867,21085.25714,1.25291821,10,16,5,40,0.663734698,1.979,1.520229399,8.325928194,0.503505091,0.587036028,0.556936551,0.859938337,0.018187302,0.076007101,0.610421399,0.060292114,0.018187302,0.076007101,0.610421399,0.060292114
